Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
166,House Wren,HOWR,Troglodytes aedon,"Santa Ynez Mtns, Windermere",19 Jun 2000,Mark Holmgren,Fledgling with Presumed Parent,,,House Wren fam just out of nest on Windemere S of Pond 1 (Lower pond)., property near 5797 West Camino Cielo,34.50016,-119.82531,,682,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338892.493346153,4096160.652593365
167,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"Santa Ynez Mtns, 5797 West Camino Cielo",25 Jun 2000,Mark Holmgren,Nestling in Nest,,,nestl being fed by both ad. On 27 June: nest still going. 29 June: nestl fledged and out and about.,,34.50086,-119.82535,15,684,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338896.946125785,4096255.2062204
168,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, 5797 West Camino Cielo",27 Jun 2000,Mark Holmgren,Carrying Food,,,"carrying food large to mugwort outside kitchen window, I lost it from there.",,34.50064,-119.82553,10,8,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338916.983634127,4096225.489280636
169,Western Bluebird,WEBL,Sialia mexicana,"Goleta, UCSB, Harder Stadium",2 Jul 2000,Adrian O'Loghlen,Fledgling under Parental Care,,,"""Three fledglings""",,34.42143,-119.85439,50,220,,MSE Nesting Records,-13342129.66413842,4085531.130842068
171,Violet-green Swallow,VGSW,Tachycineta thalassina,Nojoqui Falls County Park,7 Mar 2000,Florence Sanchez,Fledgling under Parental Care,,,"""...lots of tiny, just-fledged VG swallows everywhere""",,34.53387,-120.17678,600,95,,MSE Nesting Records,-13378017.954775263,4100714.987131418
172,Brown-headed Cowbird,BHCO,Molothrus ater,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Host - Brood Parasite Interaction,,,Adult Common Yellowthroat feeding juvenile Brown-headed Cowbird,at Willow Flycatcher site. Also see this record 173 under COYE,34.6160655,-120.21294,400,95,,"Compton field notes, SYR project for URS",-13382043.267562348,4111827.613236771
173,Common Yellowthroat,COYE,Geothlypis trichas,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Feeding Fledgling,,,Adult feeding juvenile Brown-headed Cowbird,at Willow Flycatcher site. Also see this record 172 under BHCO,34.6160655,-120.212976,400,92,,"Compton field notes, SYR project for URS",-13382047.275064016,4111827.613236771
174,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Fledgling under Parental Care,,,"Juvenile (""crisp feather edges, and inexperienced in flight"") in company of 1 adult",Willow Flycatcher site,34.6135,-120.21206,500,91,,,-13381945.30641045,4111480.5978276017
175,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Feeding Fledgling,,,Adult feeding juvenile,Willow Flycatcher site,34.6135,-120.21206,500,91,,,-13381945.30641045,4111480.5978276017
176,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Fledgling under Parental Care,,,juvenile in the company of at least one adult,Willow Flycatcher site,34.6135,-120.21206,500,91,,,-13381945.30641045,4111480.5978276017
177,Yellow Warbler,YEWA,Setophaga petechia,"Santa Ynez River, Buellton",6 Jul 2000,John Gallo,Feeding Fledgling,,,Adult feeding juvenile,at Willow Flycatcher site,34.6160655,-120.213,400,95,,"Compton field notes, SYR project for URS",-13382049.946731796,4111827.613236771
178,Brown-headed Cowbird,BHCO,Molothrus ater,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Host - Brood Parasite Interaction,,,Song Sparrow nest with Brown-headed Cowbird nestling,See also SOSP entry,34.60633,-120.30196,1000,72,,"Compton field notes, SYR project for URS",-13391952.928632764,4110510.8240606934
179,Lazuli Bunting,LAZB,Passerina amoena,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Feeding Fledgling,,,Adult feeding fledgling,,34.60629,-120.30187,1000,72,,"Compton field notes, SYR project for URS",-13391942.909878593,4110505.4141211635
180,Lesser Goldfinch,LEGO,Spinus psaltria,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Fledgling under Parental Care,,,2 separate males with young under their care,,34.60629,-120.3019,1000,72,,"Compton field notes, SYR project for URS",-13391946.249463318,4110505.4141211635
181,Northern Parula,NOPA,Setophaga americana,Gaviota Hot Springs trailhead,7 Jul 2000,Walter Wehtje,Pair in suitable habitat,,,Pair seen where singing male has been present for at least three weeks,Seen again by M. Ball on 22 Jul 2000. Female feeding fledgling. May have photo. Situation remains the same on 23 June 2000.,34.50446,-120.22579,50,101,,,-13383473.723019041,4096741.4945586533
182,Oak Titmouse,OATI,Baeolophus inornatus,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Fledgling under Parental Care,,,Adult with fledged young,,34.60629,-120.30193,1000,72,,"Compton field notes, SYR project for URS",-13391949.589048041,4110505.4141211635
183,Song Sparrow,SOSP,Melospiza melodia,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Nestling in Nest,,,Nest with Brown-headed Cowbird nestling,See also BRCO entry,34.60624,-120.30196,1000,72,,"Compton field notes, SYR project for URS",-13391952.928632764,4110498.651700415
184,White-tailed Kite,WTKI,Elanus leucurus,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,Kathleen Whitney,Fledgling Begging,,,Adult with 4 begging young (no note was included regarding whether or not these birds were fledged),,34.60629,-120.30196,1000,72,,"Compton field notes, SYR project for URS",-13391952.928632764,4110505.4141211635
185,Black Phoebe,BLPH,Sayornis nigricans,"Santa Ynez Mtns, Windermere",8 Jul 2000,Mark Holmgren,Feeding Fledgling,,,Black Phoebe adult fed dependent begging fledgling on rock in Pond #1, property near 5797 West Camino Cielo,34.50042,-119.82513,250,672,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338872.455837809,4096195.772419297
186,Purple Finch,PUFI,Haemorhous purpureus,"Santa Ynez Mtns, 5797 West Camino Cielo",9 Jul 2000,Mark Holmgren,Family Group in Close Association,,,Purple Finch fam gp on N side main house.,seen again on 23 July,34.50095,-119.82566,25,684,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338931.455167929,4096267.3631729074
187,Lesser Goldfinch,LEGO,Spinus psaltria,Santa Ynez River nr Santa Rosa Park,11 Jul 2000,Kathleen Whitney,Fledgling under Parental Care,,,Adult with dependent young,,34.60631,-120.3019604,1000,72,,"Compton field notes, SYR project for URS",-13391952.973160561,4110508.1190906027
188,Red-tailed Hawk,RTHA,Buteo jamaicensis,Santa Ynez River nr Santa Rosa Ck,11 Jul 2000,Dave Compton,Fledgling Begging,,,Begging juvenile with adult,,34.6130685,-120.2826601,300,117,,"Compton field notes, SYR project for URS",-13389804.473592404,4111422.2332023648
189,Black Phoebe,BLPH,Sayornis nigricans,"Carpinteria, Rincon Ck x Bates Rd",14 Jul 2000,Dave Compton,Fledgling Begging,,,"""A juv. begging from an adult in the middle of the creek, under the bridge.""",,34.37927,-119.47525,15,19,,MSE Nesting Records,-13299923.992399057,4079843.126007268
190,Western Flycatcher,WEFL,Empidonax difficilis,"Gaviota Coast, Arroyo Hondo Preserve",14 Jul 2000,Mark Holmgren,Adult at Nest (clarify),travertine rock,3.66,"nest buried in travertine, adult popped off nest, not able to see nestlings",,34.48919,-120.14232,500,87,,nest records folder,-13374181.885122526,4094678.9658782315
191,Western Flycatcher,WEFL,Empidonax difficilis,"Gaviota Coast, Arroyo Hondo Preserve",14 Jul 2000,Mark Holmgren,Delivering Food to Nest or Cavity,Coast Live Oak,0.67,adult feeding 2 min nestlings,over stream,34.47791,-120.14115,500,14,,,-13374051.641318299,4093155.6115633147
192,Purple Finch,PUFI,Haemorhous purpureus,"Carpinteria, Rincon Ck x Bates Rd",14 Jul 2000,Dave Compton,Fledgling Begging,Western Sycamore,,"""Two juvs. begging from adult in a sycamore overhanging creek""",,34.37921,-119.47551,40,19,,MSE Nesting Records,-13299952.935466664,4079835.0331651843
193,Western Wood-Pewee,WEWP,Contopus sordidulus,"Carpinteria, Rincon Ck x Bates Rd",14 Jul 2000,Dave Compton,Delivering Food to Nest or Cavity,Western Sycamore,,"""An adult cautiously delivering food to nest with an adult sitting on the rim.  Begging sounds were heard when the first adult delivered the food.  The nest was 20ft. up from the bank, in a sycamore just on the SB side, about 15 ft. upstream from the bridge.""",,34.37926,-119.47506,20,19,,MSE Nesting Records,-13299902.841695808,4079841.7771998513
194,Wilson's Warbler,WIWA,Cardellina pusilla,"Carpinteria, Rincon Ck x Bates Rd",14 Jul 2000,Dave Compton,Fledgling Begging,,,"""...one begging juvenile with an adult on the SB side""",,34.37901,-119.47525,40,19,,MSE Nesting Records,-13299923.992399057,4079808.05706678
196,Spotted Towhee,SPTO,Pipilo maculatus,"Santa Ynez Mtns, 5797 West Camino Cielo",23 Jul 2000,Mark Holmgren,Fledgling under Parental Care,,,Juv Spotted Towhees present with ad.,,34.50099,-119.82566,150,684,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338931.455167929,4096272.7662671236
197,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, Windermere",30 Jul 2000,Mark Holmgren,Fledgling under Parental Care,,,Dark-eyed Junco fam of 4 with full tails under pc at Pond #2, property near 5797 West Camino Cielo,34.50039,-119.82525,100,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338885.814176703,4096191.720126101
198,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, 5797 West Camino Cielo",4 Aug 2000,Mark Holmgren,Fledgling under Parental Care,,,Adults with 3 or 4 fully juv plumaged fledglings flying,,34.50081,-119.82534,150,681,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338895.832930874,4096248.4523635674
199,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Goleta, Turnpike area",17 Aug 2000,Mark Holmgren,Nestling in Nest,building,,"""7 nests on W side of building with juveniles poking heads out nest hole and adults tending""","at Hollister, Vons Grocery, W side",34.43765,-119.79092,25,16,,MSE Nesting Records,-13335064.216057772,4087720.211534594
200,Eurasian Collared-Dove,EUCD,Streptopelia decaocto,Isla Vista,17 Aug 2000,Morgan Ball,Nest Building,,8.3,"Nest in crotch under canopy of large tree.  ""3 adults present, two gathering palm fibers from a block away and constructing nest""",,34.41384,-119.85773,300,11,,MSE Nesting Records,-13342501.47123767,4084506.916501522
201,Barn Swallow,BARS,Hirundo rustica,Goleta Sanitary District Plant,18 Aug 2000,Mark Holmgren,Feeding Fledgling,,,"""1 min. adult feeding 3 begging fledglings (flyable)""","With Ball, M., John Gallo",34.42299,-119.83298,70,8,,MSE Nesting Records,-13339746.313840536,4085741.6528173983
202,American Robin,AMRO,Turdus migratorius,"Goleta, UCSB, near Ellison Hall",21 Aug 2000,Florence Sanchez,Feeding Fledgling,Laurel Fig,,"""...saw the mother fly into one of the Laurel Fig trees near Ellison with a beak full of worms, and a minute or two later heard the calls of what sounded like three or more baby birds...""","""A pair of Robins on campus nested near Ellison Hall and successfully fledged one offspring in mid-July.  The spotted youngster was seen on the ground and in the trees during that time, screaming and being fed by the parents."" [ 21 Aug observation pertains to what observer believes is a ""second brood"".]",34.41523,-119.84583,50,15,,MSE Nesting Records,-13341176.76929723,4084694.479763567
203,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Stow House",22 Aug 2000,Kevin Knight,Feeding Fledgling,,,"""...still feeding fledged young...""",,34.44325,-119.85268,200,22,,MSE Nesting Records,-13341939.307809165,4088476.0963877877
204,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Tecolotito Ck",5 Sep 1999,Mark Holmgren,Fledgling Begging,,,"Juv begging, adult came to it, did not see food exchange","Approx. 100m N of Hollister.  With Ball, M., Dave Compton",34.43162,-119.85848,75,6,,Goleta Breeding records 5 Sept 1999.pdf,-13342584.960855763,4086906.342162063
205,Red-shouldered Hawk,RSHA,Buteo lineatus,"Goleta, San Jose Ck x Berkeley Rd",9 Feb 2001,Dave Compton,Carrying Nesting Material,,,"Pair, with one carrying nesting material.",With other observers.,34.4465859,-119.8154569,50,19,,Compton field notes,-13337795.651271416,4088926.398376391
206,Black-necked Stilt,BNST,Himantopus mexicanus,"Goleta Slough, W end of Runway 7-25",6 Apr 2001,Morgan Ball,Copulation,,,Copulating pair,"Compton field notes, airport project for URS",34.42799,-119.8536,200,2,,"CCBER Fieldnote Archive, Ball notes",-13342041.721740695,4086416.4292114954
207,Mallard,MALL,Anas platyrhynchos,"Santa Ynez Mtns, Windermere",17 Apr 2001,Mark Holmgren,Fledgling under Parental Care,,,Mallards hatched (7 chicks),"Pond 60m SE Larson property at 5797 West Camino Cielo.  So, by extrapolation incubation must have begun on 20 March 2001.",34.50033,-119.82523,150,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338883.587786887,4096183.6155440775
208,Mallard,MALL,Anas platyrhynchos,Goleta Sanitary District Plant,18 Apr 2001,Dave Compton,Fledgling under Parental Care,,,Adult female with 8 chicks,"This group observed through at least 16 May 2001. See also, both entries for this location on 26 June 2001",34.42308,-119.8315851,150,5,,"Compton field notes, airport project for URS",-13339591.03428283,4085753.7984358203
209,Song Sparrow,SOSP,Melospiza melodia,"Goleta, nr Goleta Beach",18 Apr 2001,Dave Compton,Copulation,,,Pair briefly copulating,,34.420337,-119.8298593,300,3,,Compton field notes,-13339398.919105617,4085383.6328494535
210,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, Windermere",24 Apr 2001,Mark Holmgren,Adult at Nest (clarify),,,Dark-eyed Junco entered nest and is I guess incubating along abandoned road near rocky barricade 20 m below upper pond., property near 5797 West Camino Cielo. Nest inactive on 6 May.,34.50045,-119.8244,35,671,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338791.192609528,4096199.824713952
211,Killdeer,KILL,Charadrius vociferus,Goleta Slough,27 Apr 2001,"Schobe, M.",Egg in Nest,,0,"Adult on nest with 4 eggs on the ground. On 21 May 2001, Compton found Adult flushed off nest with 5 eggs on ground.",,34.42169,-119.8449397,350,1,,"Compton field notes, airport project for URS",-13341077.661554575,4085566.2175651817
212,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, Mesa x Los Carneros Rd, SW",2 May 2001,Morgan Ball,Nestling in Nest,culvert,1.5,"Adult at nest with 3 visible older nestlings, fully feathered and with large yellow gape area",Compare with 26 June 2004 record for this area.,34.421651,-119.8597633,20,3,,"Compton field notes, airport project for URS",-13342727.817158299,4085560.9545497587
213,Mallard,MALL,Anas platyrhynchos,"Goleta, Lake Los Carneros Natural and Historical Preserve",2 May 2001,Dave Compton,Courtship or Display,,,5 males attempting copulation with female,,34.442364,-119.8490341,200,14,,Compton field notes,-13341533.448077679,4088356.5012318604
214,Red-winged Blackbird,RWBL,Agelaius phoeniceus,"Goleta, Santa Barbara Airport, W of main runway",2 May 2001,Morgan Ball,Nest Building,Coyote Brush,1,Male building nest,,34.4272352,-119.8557219,50,2,,"Compton field notes, airport project for URS",-13342277.930568209,4086314.562380595
215,Song Sparrow,SOSP,Melospiza melodia,"Goleta, Santa Barbara Airport, W of main runway",2 May 2001,Morgan Ball,Fledgling out of Nest--Brancher,,,2 fledglings with half-length tails and some yellow in gape.,,34.42741,-119.8565318,300,2,,"Compton field notes, airport project for URS",-13342368.088223802,4086338.1530804713
216,Song Sparrow,SOSP,Melospiza melodia,Goleta Sanitary District Plant,2 May 2001,Dave Compton,Fledgling under Parental Care,,,Fledged juvenile accompanied by 2 adults.,,34.42555,-119.8328526,250,2,,"Compton field notes, airport project for URS",-13339732.131737407,4086087.133289309
217,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Ynez Mtns, Windermere",6 May 2001,Mark Holmgren,Delivering Food to Nest or Cavity,Coast Live Oak,,"On 28 May 2001, madly flycatching and bringing food to nest. On 6 May 2001, nest site found two oaks further toward canyon above lower pond from last year's cavity; male replaced female in nest cavity. ",Pond near Larson property at 5797 West Camino Cielo,34.50042,-119.82553,30,683,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338916.983634127,4096195.772419297
218,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, 5797 West Camino Cielo",6 May 2001,Mark Holmgren,Carrying Food,,,Making repeated food carries to area surrounded by upper hairpin turn of driveway,,34.50062,-119.82474,50,667,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338829.0412364,4096222.7877445472
219,Peregrine Falcon,PEFA,Falco peregrinus,"Santa Ynez River, exact location obscured",6 May 2001,,Pair in suitable habitat,cliff,,Pair,"On 8 June 2001, Pair with 2 downy chicks.  On 25 June 2001, Pair with 2 fledglings.",34.704,-120.203,5000,,,,-13380936.751823863,4123728.32853883
220,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Goleta Slough, between Areas K and J",11 May 2001,Dave Compton,Adult at Nest (clarify),Eucalyptus,10,"Adult flushed off nest 30 ft high in Eucalyptus; not certain whether young are present. On 11 June 2001, Compton saw 1 adult still on nest.",overhanging UCSB Bluff,34.41969,-119.84736,20,6,,"Compton field notes, airport project for URS",-13341347.088118142,4085296.3225033693
221,Northern Flicker,NOFL,Colaptes auratus,"Goleta, San Jose Ck",13 May 2001,Mark Holmgren,Cavity Nester Attending Cavity,willow,3,adult blasted out of cavity,at SJ Creek tributary,34.45526,-119.8123,150,32,,Nest Record Folder,-13337444.22677093,4090097.3703185953
222,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, 5797 West Camino Cielo",14 May 2001,Mark Holmgren,Fledgling under Parental Care,,,2 fledglings under pc up drive from blue tank,Driveway S of lower hairpin,34.50154,-119.82524,50,670,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338884.700981794,4096347.0590755004
223,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",14 May 2001,Mark Holmgren,Carrying Fecal Sac,,,carrying food or fecal sac,Driveway S of lower hairpin,34.50154,-119.82524,50,670,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338884.700981794,4096347.0590755004
224,Western Flycatcher,WEFL,Empidonax difficilis,"Santa Ynez Mtns, 5797 West Camino Cielo",14 May 2001,Mark Holmgren,Carrying Nesting Material,rock,1.3,Nest under construction in rock crevice opposite curb 5-6 m up drive from the well pipes.  Female carrying nesting material .,,34.50122,-119.82501,30,670,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338859.097498914,4096303.83410918
225,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, 5797 West Camino Cielo",15 May 2001,Mark Holmgren,Nest in Use (clarify),,,Dark-eyed Junco nest E of hairpin,,34.50062,-119.82463,25,668,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338816.796092412,4096222.7877445472
226,Bushtit,BUSH,Psaltriparus minimus,"Goleta, Lake Los Carneros Natural and Historical Preserve",16 May 2001,Morgan Ball,Fledgling under Parental Care,,,"2 family groups, of 5 and 6 birds",,34.4409074,-119.8461666,200,17,,"Compton field notes, airport project for URS",-13341214.239437832,4088159.8873922797
227,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Goleta, Tecolotito Ck at Hollister Ave",16 May 2001,Morgan Ball,Nest Building,building,,Approximately 20 birds building nests under eaves of building,,34.43088,-119.85629,150,5,,"CCBER Field Note Archive, airport project for URS",-13342341.171170928,4086806.468373918
228,Great Blue Heron,GBHE,Ardea herodias,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",16 May 2001,Dave Compton,Nestling in Nest,Eucalyptus,6.4,5 nestlings and 6 adults present at rookery,,34.41859,-119.82853,50,3,,"Compton field notes, airport project for URS",-13339250.942106504,4085147.8829710465
229,Mallard,MALL,Anas platyrhynchos,"Goleta, Tecolotito Ck at Hollister Ave",16 May 2001,Dave Compton,Fledgling under Parental Care,,,Adult female with 5 1/3-size females,,34.4298842,-119.8569326,100,4,,"Compton field notes, airport project for URS",-13342412.70507571,4086672.072042128
230,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Area B-D",21 May 2001,Dave Compton,Nest Building,,,Pair building nest.,[Editor: Could be same as Rec # 281?],34.4233068,-119.8452105,350,1,,"Compton field notes, airport project for URS",-13341107.806872683,4085784.4054522337
231,Canada Goose,CANG,Branta canadensis,"Goleta Slough, Area A",21 May 2001,Dave Compton,Egg in Nest,Salicornia,0.3,Adult on nest with four eggs,Amid debris and within several feet of Tecolotito Creek and tidal channel,34.4170364,-119.8369162,10,1,,"Compton field notes, airport project for URS",-13340184.489620198,4084938.235699876
233,Red-shouldered Hawk,RSHA,Buteo lineatus,"Santa Ynez Mtns, Windermere",21 May 2001,Melissa Kelly,Juvenile Independent,,,fledgling Red-shouldered Hawk across pond for 45 min, property near 5797 West Camino Cielo,34.50029,-119.825,150,678,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338857.984304005,4096178.212492639
234,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",24 May 2001,Mark Holmgren,Fledgling under Parental Care,,,"family group, adults actively shepherding 3 or so young.  On 5 June 2001, MAH saw at least two pairs near the house I think, feeding fledglings.",,34.5008,-119.82533,150,681,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338894.719735965,4096247.101592687
236,House Wren,HOWR,Troglodytes aedon,"Santa Ynez Mtns, Windermere",28 May 2001,Mark Holmgren,Carrying Nesting Material,,,Pr House Wren with one carrying nesting material  at NE corner upper pond., property near 5797 West Camino Cielo,34.50032,-119.82421,25,678,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338770.04190628,4096182.2647809763
237,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, 5797 West Camino Cielo",28 May 2001,Mark Holmgren,Feeding Fledgling,,,Orange-crowned Warbler feeding juv fledgling in oaks along driveway.,,34.50087,-119.82519,60,679,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338879.135007259,4096256.5569922533
238,Barn Swallow,BARS,Hirundo rustica,"Santa Barbara Airport, runway 7-25",4 Jun 2001,Dave Compton,Feeding Fledgling,,,2 adults feeding 1 juv on taxiway to runway 7-25.,,34.4265,-119.84696,100,2,,"Compton field notes, airport project for URS",-13341302.560321825,4086215.341624603
239,Belted Kingfisher,BEKI,Megaceryle alcyon,Goleta Slough,4 Jun 2001,Dave Compton,Carrying Food,,,"Adult Carrying food from near Hollister south at least to bluff above basin A (perhaps a half mile, possibly further), although the bird was lost before it reached its destination.","Second hand information suggested breeding at the ocean bluffs between Goleta Pt and Goleta Beach, but no details were obtained.",34.4181,-119.84207,30,2,,"Compton field notes, airport project for URS",-13340758.208011849,4085081.7605353026
241,Spotted Towhee,SPTO,Pipilo maculatus,"Santa Ynez Mtns, Windermere",5 Jun 2001,Mark Holmgren,Feeding Fledgling,,,Spotted Towhee by pond feeding single fledgling., pond near Larson property at 5797 West Camino Cielo,34.50045,-119.82519,25,672,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338879.135007259,4096199.824713952
242,American Coot,AMCO,Fulica americana,"Goleta, Lake Los Carneros Natural and Historical Preserve",6 Jun 2001,Morgan Ball,Fledgling under Parental Care,,,"1 1/3 size juvenile with red bill and white face. On 11 July 2001, Ball saw 2 mostly grown juveniles and 3 half-grown juveniles with various parents. On 26 July 2001, Ball saw 3 full-grown, gray-bodied juveniles and 1 3/4 grown begging juvenile with adult. On 9 August 2001, Ball saw 2 full-grown, gray-bodied juveniles.",,34.442364,-119.8490341,200,14,,"CCBER Field Note Archive, Ball notes, airport project for URS",-13341533.448077679,4088356.5012318604
243,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, Santa Barbara Airport",6 Jun 2001,Morgan Ball,Fledgling under Parental Care,,,Pair with dependent juv (small area of yellow at gape),W of main runway,34.4274042,-119.8538892,200,2,,"Compton field notes, airport project for URS",-13342073.91533743,4086337.370321904
244,Pied-billed Grebe,PBGR,Podilymbus podiceps,"Goleta, Lake Los Carneros Natural and Historical Preserve",6 Jun 2001,Morgan Ball,Juvenile Independent,,,"2 full-grown juveniles retaining black-and-white facial pattern. On 11 July, Ball saw 3 mostly grown juveniles making begging calls. On 9 August 2001, Ball saw 2 adults with 1 3/4-grown juvenile.",,34.442374,-119.8490351,200,14,,"Compton field notes, airport project for URS",-13341533.55939717,4088357.8510572426
245,Red-winged Blackbird,RWBL,Agelaius phoeniceus,"Goleta Slough, W of main runway",6 Jun 2001,Morgan Ball,Feeding Fledgling,mustard,1,"nest with Nestling, Parent delivered dragonfly","The airport has mowed a 50 foot wide swath of vegetation along the S side of the E-W access road. This was timed poorly, most RWBL are on chicks or have young fledgling. The mowing probably killed as many as 30-60 nests of RWBL and COYE.",34.42724,-119.85537,25,3,,"CCBER Field Note Archive, airport project for URS",-13342238.757239396,4086315.2101794747
246,White-tailed Kite,WTKI,Elanus leucurus,"Goleta, UCSB, Harder Stadium",6 Jun 2001,Morgan Ball,Nest in Use (clarify),Coast Live Oak,,"2 adults at nest. On 26 June 2001, Male standing sentinel from this date to 11 July.  On 26 July 2001, Food delivery to female, who returns to nest.",Nest situated atop oak tree. See also notes for 26 June and 26 July,34.4211014,-119.8547408,50,9,,"Compton field notes, airport project for URS",-13342168.71501579,4085486.7867780933
247,House Wren,HOWR,Troglodytes aedon,"Santa Ynez Mtns, 5797 West Camino Cielo",8 Jun 2001,Mark Holmgren,Nestling in Nest,Coast Live Oak,4,nest w/nestlings begging and being fed by adult; 20m SW blue tank.,Driveway S of lower hairpin,34.50168,-119.82548,50,668,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338911.417659584,4096365.9700504434
249,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, West Camino Cielo",9 Jun 2001,Mark Holmgren,Feeding Fledgling,,,"juv tail 1/3-1/2 grown can fly with adult tending on dirt rd.,", along entrance rd to 5797 WCC,34.50257,-119.82496,100,685,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338853.531524373,4096486.190562444
250,Mallard,MALL,Anas platyrhynchos,"Santa Ynez Mtns, Windermere",9 Jun 2001,Mark Holmgren,Family Group in Close Association,,,f with 7 chicks,Pond 60m SE Larson property at 5797 West Camino Cielo.  Could be same as Rec # 207.,34.50033,-119.82518,,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338878.021812348,4096183.6155440775
251,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, 5797 West Camino Cielo",9 Jun 2001,Mark Holmgren,Carrying Food,,,f carrying food to nest 3m N of property boundary stake NW of lower pond,,34.5006,-119.82508,100,673,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338866.88986327,4096220.0862091035
252,Spotted Towhee,SPTO,Pipilo maculatus,"Santa Ynez Mtns, 5797 West Camino Cielo",9 Jun 2001,Mark Holmgren,Feeding Fledgling,,,adult feeding two juvs in cyn below blue tank,Driveway S of lower hairpin,34.50156,-119.82498,100,666,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338855.75791419,4096349.7606414044
253,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, 5797 West Camino Cielo",9 Jun 2001,Mark Holmgren,Fledgling under Parental Care,,,fam (fledged juvs with ad) at blue tank,driveway at lower hairpin,34.50168,-119.8254,150,668,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338902.512100324,4096365.9700504434
